,drug_id,name,type,class,moa,description,quesion,option_A,option_B,option_C,option_D,option_E,answers
132,DB00931,Metacycline,small molecule,Phenylpropanoids and polyketides,inhibitor,A broad-spectrum semisynthetic antibiotic related to tetracycline but excreted more slowly and maintaining effective blood levels for a more extended period.,Which of the following is a salt form of Metacycline?,Metacycline sulfate,Metacycline hydrochloride,Metacycline nitrate,Metacycline phosphate,Metacycline acetate,B
133,DB00941,Hexafluronium,small molecule,Organic nitrogen compounds,inhibitor,Hexafluronium bromide is a neuromuscular blocking agent used in anesthesiology to prolong and potentiate the skeletal muscle relaxing action of suxamethonium during surgery. It is known to bind and block the activity of plasma cholinesterases.,What is the mechanism of action of Hexafluronium?,It is an opioid receptor agonist,It inhibits DNA replication in bacteria,It is a non-competitive reversible inhibitor of human plasma cholinesterase,It enhances neurotransmitter release,It blocks calcium channels,C
134,DB00941,Hexafluronium,small molecule,Organic nitrogen compounds,inhibitor,Hexafluronium bromide is a neuromuscular blocking agent used in anesthesiology to prolong and potentiate the skeletal muscle relaxing action of suxamethonium during surgery. It is known to bind and block the activity of plasma cholinesterases.,Which of the following is a known interaction of Hexafluronium?,It decreases the effects of insulin,It may increase the CNS depressant activities of Buprenorphine,It enhances the effects of vitamin C,It reduces the efficacy of oral contraceptives,It accelerates the metabolism of statins,B
135,DB00941,Hexafluronium,small molecule,Organic nitrogen compounds,inhibitor,Hexafluronium bromide is a neuromuscular blocking agent used in anesthesiology to prolong and potentiate the skeletal muscle relaxing action of suxamethonium during surgery. It is known to bind and block the activity of plasma cholinesterases.,What is the chemical classification of Hexafluronium?,Steroid,Beta-lactam antibiotic,Hexamethonium compound,Glycopeptide antibiotic,Non-nucleoside reverse transcriptase inhibitor,C
136,DB00941,Hexafluronium,small molecule,Organic nitrogen compounds,inhibitor,Hexafluronium bromide is a neuromuscular blocking agent used in anesthesiology to prolong and potentiate the skeletal muscle relaxing action of suxamethonium during surgery. It is known to bind and block the activity of plasma cholinesterases.,What is the lethal dose (LD50) of Hexafluronium in mice when administered orally?,50 mg/kg,100 mg/kg,200 mg/kg,280 mg/kg,350 mg/kg,D
137,DB00943,Zalcitabine,small molecule,"Nucleosides, nucleotides, and analogues",inhibitor,"A dideoxynucleoside compound in which the 3'-hydroxyl group on the sugar moiety has been replaced by a hydrogen. This modification prevents the formation of 5' to 3' phosphodiester linkages, which are needed for the elongation of DNA chains, thus resulting in the termination of viral DNA growth. The compound is a potent inhibitor of HIV replication at low concentrations, acting as a chain-terminator of viral DNA by binding to reverse transcriptase. Its principal toxic side effect is axonal degeneration resulting in peripheral neuropathy.",What is the primary indication for Zalcitabine?,Treatment of bacterial infections,Treatment of fungal infections,Treatment of HIV infections,Treatment of hypertension,Treatment of diabetes,C
138,DB00943,Zalcitabine,small molecule,"Nucleosides, nucleotides, and analogues",inhibitor,"A dideoxynucleoside compound in which the 3'-hydroxyl group on the sugar moiety has been replaced by a hydrogen. This modification prevents the formation of 5' to 3' phosphodiester linkages, which are needed for the elongation of DNA chains, thus resulting in the termination of viral DNA growth. The compound is a potent inhibitor of HIV replication at low concentrations, acting as a chain-terminator of viral DNA by binding to reverse transcriptase. Its principal toxic side effect is axonal degeneration resulting in peripheral neuropathy.",What is the primary route of elimination for Zalcitabine?,Hepatic metabolism,Fecal excretion,Renal excretion,Pulmonary excretion,Salivary excretion,C
139,DB00943,Zalcitabine,small molecule,"Nucleosides, nucleotides, and analogues",inhibitor,"A dideoxynucleoside compound in which the 3'-hydroxyl group on the sugar moiety has been replaced by a hydrogen. This modification prevents the formation of 5' to 3' phosphodiester linkages, which are needed for the elongation of DNA chains, thus resulting in the termination of viral DNA growth. The compound is a potent inhibitor of HIV replication at low concentrations, acting as a chain-terminator of viral DNA by binding to reverse transcriptase. Its principal toxic side effect is axonal degeneration resulting in peripheral neuropathy.",What is a major toxic side effect of Zalcitabine?,Cardiotoxicity,Hepatotoxicity,Nephrotoxicity,Peripheral neuropathy,Pulmonary fibrosis,D
140,DB00943,Zalcitabine,small molecule,"Nucleosides, nucleotides, and analogues",inhibitor,"A dideoxynucleoside compound in which the 3'-hydroxyl group on the sugar moiety has been replaced by a hydrogen. This modification prevents the formation of 5' to 3' phosphodiester linkages, which are needed for the elongation of DNA chains, thus resulting in the termination of viral DNA growth. The compound is a potent inhibitor of HIV replication at low concentrations, acting as a chain-terminator of viral DNA by binding to reverse transcriptase. Its principal toxic side effect is axonal degeneration resulting in peripheral neuropathy.",What is the bioavailability of Zalcitabine following oral administration?,Less than 20%,About 50%,Over 80%,Exactly 75%,Not applicable,C
141,DB00955,Netilmicin,small molecule,Organic oxygen compounds,inhibitor,"Netilmicin is a semisynthetic 1-N-ethyl derivative of sisomycin, an aminoglycoside antibiotic with action similar to gentamicin, but less ear and kidney toxicity. Netilmicin inhibits protein synthesis in susceptible organisms by binding to the bacterial 30S ribosomal subunit and interfering with mRNA binding and the acceptor tRNA site. The bactericidal effect of netilmiicin is not fully understood.",What is the mechanism of action of Netilmicin?,Inhibition of DNA replication,Blocking bacterial cell wall synthesis,Inhibition of protein synthesis,Activation of immune response,Inhibition of viral entry into cells,C
142,DB00955,Netilmicin,small molecule,Organic oxygen compounds,inhibitor,"Netilmicin is a semisynthetic 1-N-ethyl derivative of sisomycin, an aminoglycoside antibiotic with action similar to gentamicin, but less ear and kidney toxicity. Netilmicin inhibits protein synthesis in susceptible organisms by binding to the bacterial 30S ribosomal subunit and interfering with mRNA binding and the acceptor tRNA site. The bactericidal effect of netilmiicin is not fully understood.",Which of the following bacteria is NOT typically susceptible to Netilmicin?,Escherichia coli,Pseudomonas aeruginosa,Staphylococcus aureus,Neisseria gonorrhoeae,Candida albicans,E
143,DB00955,Netilmicin,small molecule,Organic oxygen compounds,inhibitor,"Netilmicin is a semisynthetic 1-N-ethyl derivative of sisomycin, an aminoglycoside antibiotic with action similar to gentamicin, but less ear and kidney toxicity. Netilmicin inhibits protein synthesis in susceptible organisms by binding to the bacterial 30S ribosomal subunit and interfering with mRNA binding and the acceptor tRNA site. The bactericidal effect of netilmiicin is not fully understood.",What are the common routes of administration for Netilmicin?,Oral and intravenous,Intramuscular and intravenous,Topical and oral,Inhalation and intravenous,Intramuscular and topical,B
144,DB00955,Netilmicin,small molecule,Organic oxygen compounds,inhibitor,"Netilmicin is a semisynthetic 1-N-ethyl derivative of sisomycin, an aminoglycoside antibiotic with action similar to gentamicin, but less ear and kidney toxicity. Netilmicin inhibits protein synthesis in susceptible organisms by binding to the bacterial 30S ribosomal subunit and interfering with mRNA binding and the acceptor tRNA site. The bactericidal effect of netilmiicin is not fully understood.",What is a major side effect associated with Netilmicin use?,Hypoglycemia,Nephrotoxicity,Hepatotoxicity,Cardiotoxicity,Neurotoxicity,B
145,DB00962,Zaleplon,small molecule,Organoheterocyclic compounds,potentiator,"Zaleplon is a sedative/hypnotic, mainly used for insomnia. It is known as a nonbenzodiazepine hypnotic. Zaleplon interacts with the GABA receptor complex and shares some of the pharmacological properties of the benzodiazepines. Zaleplon is a schedule IV drug in the United States.",What class of drug is Zaleplon categorized under?,Benzodiazepine,Nonbenzodiazepine hypnotic,Antipsychotic,Opioid,Antidepressant,B
146,DB00962,Zaleplon,small molecule,Organoheterocyclic compounds,potentiator,"Zaleplon is a sedative/hypnotic, mainly used for insomnia. It is known as a nonbenzodiazepine hypnotic. Zaleplon interacts with the GABA receptor complex and shares some of the pharmacological properties of the benzodiazepines. Zaleplon is a schedule IV drug in the United States.",What is the mechanism of action of Zaleplon?,Inhibition of serotonin reuptake,Blockade of dopamine receptors,Modulation of GABA<sub>B</sub>Z receptor chloride channels,Enhancement of norepinephrine activity,Inhibition of monoamine oxidase,C
147,DB00962,Zaleplon,small molecule,Organoheterocyclic compounds,potentiator,"Zaleplon is a sedative/hypnotic, mainly used for insomnia. It is known as a nonbenzodiazepine hypnotic. Zaleplon interacts with the GABA receptor complex and shares some of the pharmacological properties of the benzodiazepines. Zaleplon is a schedule IV drug in the United States.",What is the approximate half-life of Zaleplon?,24 hours,12 hours,6 hours,3 hours,1 hour,E
148,DB00962,Zaleplon,small molecule,Organoheterocyclic compounds,potentiator,"Zaleplon is a sedative/hypnotic, mainly used for insomnia. It is known as a nonbenzodiazepine hypnotic. Zaleplon interacts with the GABA receptor complex and shares some of the pharmacological properties of the benzodiazepines. Zaleplon is a schedule IV drug in the United States.",Which of the following is a common side effect of Zaleplon?,Increased appetite,Dizziness,Rash,Hypertension,Diarrhea,B
149,DB00990,Exemestane,small molecule,Lipids and lipid-like molecules,inhibitor,"Exemestane is an oral steroidal aromatase inhibitor used in the adjuvant treatment of hormonally-responsive (also called hormone-receptor-positive, estrogen-responsive) breast cancer in postmenopausal women. It irreversibly binds to the active site of the enzyme resulting in permanent inhibition.",How is Exemestane metabolized in the body?,Renal,Hepatic,Pulmonary,Gastric,Lymphatic,B
150,DB00990,Exemestane,small molecule,Lipids and lipid-like molecules,inhibitor,"Exemestane is an oral steroidal aromatase inhibitor used in the adjuvant treatment of hormonally-responsive (also called hormone-receptor-positive, estrogen-responsive) breast cancer in postmenopausal women. It irreversibly binds to the active site of the enzyme resulting in permanent inhibition.",What is the bioavailability of Exemestane when administered orally?,90%,75%,55%,42%,60%,D
151,DB00990,Exemestane,small molecule,Lipids and lipid-like molecules,inhibitor,"Exemestane is an oral steroidal aromatase inhibitor used in the adjuvant treatment of hormonally-responsive (also called hormone-receptor-positive, estrogen-responsive) breast cancer in postmenopausal women. It irreversibly binds to the active site of the enzyme resulting in permanent inhibition.",What is the half-life of Exemestane?,12 hours,24 hours,36 hours,48 hours,72 hours,B
152,DB00990,Exemestane,small molecule,Lipids and lipid-like molecules,inhibitor,"Exemestane is an oral steroidal aromatase inhibitor used in the adjuvant treatment of hormonally-responsive (also called hormone-receptor-positive, estrogen-responsive) breast cancer in postmenopausal women. It irreversibly binds to the active site of the enzyme resulting in permanent inhibition.",Which of the following is NOT a brand name for Exemestane?,Aromasin,Act Exemestane,Apo-exemestane,Exemestane Supreme,Exemestane by Greenstone LLC,D
153,DB01015,Sulfamethoxazole,small molecule,Benzenoids,antagonist,"Sulfamethoxazole is a bacteriostatic sulfonamide antibiotic that interferes with folic acid synthesis in susceptible bacteria.[L11830] It is generally given in combination with [trimethoprim], which inhibits a sequential step in bacterial folic acid synthesis - these agents work synergistically to block two consecutive steps in the biosynthesis of nucleic acids and proteins which are necessary for bacterial growth and division, and using them in conjunction helps to slow the development of bacterial resistance.[L11830] In this combination, sulfamethoxazole is useful for the treatment of a variety of bacterial infections, including those of the urinary, respiratory, and gastrointestinal tracts.",What is the primary therapeutic use of Sulfamethoxazole when combined with trimethoprim?,Treatment of viral infections,Treatment of fungal infections,Treatment of bacterial infections,Treatment of protozoal infections,Treatment of prion diseases,C
154,DB01015,Sulfamethoxazole,small molecule,Benzenoids,antagonist,"Sulfamethoxazole is a bacteriostatic sulfonamide antibiotic that interferes with folic acid synthesis in susceptible bacteria.[L11830] It is generally given in combination with [trimethoprim], which inhibits a sequential step in bacterial folic acid synthesis - these agents work synergistically to block two consecutive steps in the biosynthesis of nucleic acids and proteins which are necessary for bacterial growth and division, and using them in conjunction helps to slow the development of bacterial resistance.[L11830] In this combination, sulfamethoxazole is useful for the treatment of a variety of bacterial infections, including those of the urinary, respiratory, and gastrointestinal tracts.",What is the average serum half-life of Sulfamethoxazole?,5 hours,10 hours,15 hours,20 hours,25 hours,B
155,DB01015,Sulfamethoxazole,small molecule,Benzenoids,antagonist,"Sulfamethoxazole is a bacteriostatic sulfonamide antibiotic that interferes with folic acid synthesis in susceptible bacteria.[L11830] It is generally given in combination with [trimethoprim], which inhibits a sequential step in bacterial folic acid synthesis - these agents work synergistically to block two consecutive steps in the biosynthesis of nucleic acids and proteins which are necessary for bacterial growth and division, and using them in conjunction helps to slow the development of bacterial resistance.[L11830] In this combination, sulfamethoxazole is useful for the treatment of a variety of bacterial infections, including those of the urinary, respiratory, and gastrointestinal tracts.",Which of the following is NOT a documented side effect of Sulfamethoxazole?,Hemolysis in patients with G6PD deficiency,Stevens-Johnson syndrome,Hepatotoxicity,Folate deficiency,Toxic epidermal necrolysis,C
156,DB01015,Sulfamethoxazole,small molecule,Benzenoids,antagonist,"Sulfamethoxazole is a bacteriostatic sulfonamide antibiotic that interferes with folic acid synthesis in susceptible bacteria.[L11830] It is generally given in combination with [trimethoprim], which inhibits a sequential step in bacterial folic acid synthesis - these agents work synergistically to block two consecutive steps in the biosynthesis of nucleic acids and proteins which are necessary for bacterial growth and division, and using them in conjunction helps to slow the development of bacterial resistance.[L11830] In this combination, sulfamethoxazole is useful for the treatment of a variety of bacterial infections, including those of the urinary, respiratory, and gastrointestinal tracts.",How is Sulfamethoxazole primarily metabolized in the body?,Glucuronidation,Oxidation by CYP2C9,Hydrolysis,Acetylation by NAT enzymes,Methylation,D
157,DB01019,Bethanechol,small molecule,Organic nitrogen compounds,agonist,"Bethanechol is a synthetic ester that was initially synthesized in 1935.[A232905,L32539] As a cholinergic agent, bethanechol is similar in structure and pharmacological function to acetylcholine and is used in specific cases when stimulation of the parasympathetic nervous system is necessary.[A232905,L32539] For example, bethanechol is readily used to treat postoperative or postpartum urinary retention. An advantage of bethanechol is that in contrast to acetylcholine, bethanechol is not degraded by cholinesterase allowing its effects to be longer-lasting.[L32539]",What is the mechanism of action of Bethanechol?,Beta-adrenergic blocker,Muscarinic agonist,Dopamine antagonist,Serotonin reuptake inhibitor,Calcium channel blocker,B
158,DB01019,Bethanechol,small molecule,Organic nitrogen compounds,agonist,"Bethanechol is a synthetic ester that was initially synthesized in 1935.[A232905,L32539] As a cholinergic agent, bethanechol is similar in structure and pharmacological function to acetylcholine and is used in specific cases when stimulation of the parasympathetic nervous system is necessary.[A232905,L32539] For example, bethanechol is readily used to treat postoperative or postpartum urinary retention. An advantage of bethanechol is that in contrast to acetylcholine, bethanechol is not degraded by cholinesterase allowing its effects to be longer-lasting.[L32539]",What is the recommended antidote for a Bethanechol overdose?,Naloxone,Flumazenil,Vitamin K,Atropine sulfate,Acetylcysteine,D
159,DB01019,Bethanechol,small molecule,Organic nitrogen compounds,agonist,"Bethanechol is a synthetic ester that was initially synthesized in 1935.[A232905,L32539] As a cholinergic agent, bethanechol is similar in structure and pharmacological function to acetylcholine and is used in specific cases when stimulation of the parasympathetic nervous system is necessary.[A232905,L32539] For example, bethanechol is readily used to treat postoperative or postpartum urinary retention. An advantage of bethanechol is that in contrast to acetylcholine, bethanechol is not degraded by cholinesterase allowing its effects to be longer-lasting.[L32539]",How long after oral administration does Bethanechol typically reach maximum effectiveness?,5-15 minutes,15-30 minutes,30-60 minutes,60-90 minutes,90-120 minutes,D
160,DB01019,Bethanechol,small molecule,Organic nitrogen compounds,agonist,"Bethanechol is a synthetic ester that was initially synthesized in 1935.[A232905,L32539] As a cholinergic agent, bethanechol is similar in structure and pharmacological function to acetylcholine and is used in specific cases when stimulation of the parasympathetic nervous system is necessary.[A232905,L32539] For example, bethanechol is readily used to treat postoperative or postpartum urinary retention. An advantage of bethanechol is that in contrast to acetylcholine, bethanechol is not degraded by cholinesterase allowing its effects to be longer-lasting.[L32539]",Which of the following is NOT a form of Bethanechol available on the market?,5 mg tablet,10 mg tablet,25 mg tablet,50 mg tablet,100 mg tablet,E
161,DB01047,Fluocinonide,small molecule,Lipids and lipid-like molecules,agonist,A topical glucocorticoid used in the treatment of eczema.,What is the mechanism of action of Fluocinonide?,Inhibits bacterial cell wall synthesis,Binds to tubulin and inhibits microtubule formation,Binds to cytosolic glucocorticoid receptors and modifies gene expression,Blocks viral RNA replication,Inhibits cyclooxygenase enzymes,C
162,DB01047,Fluocinonide,small molecule,Lipids and lipid-like molecules,agonist,A topical glucocorticoid used in the treatment of eczema.,Which of the following is NOT a reported side effect of Fluocinonide?,Acne-like eruptions,Hypertension,Itching,Skin inflammation,Stretch marks,B
163,DB01047,Fluocinonide,small molecule,Lipids and lipid-like molecules,agonist,A topical glucocorticoid used in the treatment of eczema.,What is the primary route of administration for Fluocinonide?,Oral,Intravenous,Topical,Inhalation,Subcutaneous,C
164,DB01047,Fluocinonide,small molecule,Lipids and lipid-like molecules,agonist,A topical glucocorticoid used in the treatment of eczema.,Which of the following is a correct statement about the metabolism of Fluocinonide?,It is extensively metabolized in the kidneys.,It undergoes significant first-pass metabolism in the liver.,It is not metabolized and excreted unchanged.,Metabolism details are not specified.,It is primarily metabolized in the gastrointestinal tract.,D
165,DB01050,Ibuprofen,small molecule,Phenylpropanoids and polyketides,modulator | activator | binder | inducer | inhibitor,"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]

On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]",What is the primary indication for using Ibuprofen?,Hypertension,Diabetes,Pain and inflammation,Bacterial infection,Viral infection,C
166,DB01050,Ibuprofen,small molecule,Phenylpropanoids and polyketides,modulator | activator | binder | inducer | inhibitor,"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]

On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]",Which of the following conditions is NOT a common use of Ibuprofen?,Rheumatoid arthritis,Osteoarthritis,Patent Ductus Arteriosus,Hypothyroidism,Dysmenorrhea,D
167,DB01050,Ibuprofen,small molecule,Phenylpropanoids and polyketides,modulator | activator | binder | inducer | inhibitor,"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]

On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]",What is the mechanism of action of Ibuprofen?,Inhibition of prostaglandin synthesis,Blockage of opioid receptors,Enhancement of insulin release,Inhibition of viral replication,Stimulation of beta-adrenergic receptors,A
168,DB01050,Ibuprofen,small molecule,Phenylpropanoids and polyketides,modulator | activator | binder | inducer | inhibitor,"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]

On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]",Which of the following is a potential side effect of Ibuprofen due to its pharmacological action?,Increased platelet aggregation,Decreased risk of heart failure,Prolongation of gestation and labor,Increased thyroid hormone production,Reduction in cholesterol levels,C
169,DB01078,Deslanoside,small molecule,Lipids and lipid-like molecules,inhibitor,Deacetyllanatoside C. A cardiotonic glycoside from the leaves of Digitalis lanata.,What is the mechanism of action of Deslanoside?,It inhibits cyclooxygenase enzymes,It inhibits the Na-K-ATPase membrane pump,It promotes neurotransmitter release,It blocks dopamine receptors,It inhibits viral replication,B
170,DB01078,Deslanoside,small molecule,Lipids and lipid-like molecules,inhibitor,Deacetyllanatoside C. A cardiotonic glycoside from the leaves of Digitalis lanata.,What is the half-life of Deslanoside?,12 hours,24 hours,36 hours,48 hours,72 hours,C
171,DB01078,Deslanoside,small molecule,Lipids and lipid-like molecules,inhibitor,Deacetyllanatoside C. A cardiotonic glycoside from the leaves of Digitalis lanata.,Which category does Deslanoside belong to?,Antibiotics,Antivirals,Cardiotonic Agents,Antifungals,Antidepressants,C
172,DB01078,Deslanoside,small molecule,Lipids and lipid-like molecules,inhibitor,Deacetyllanatoside C. A cardiotonic glycoside from the leaves of Digitalis lanata.,What is a potential symptom of Deslanoside overdose?,Hypotension,Seizures,Ventricular tachycardia,Insomnia,Hyperglycemia,C
173,DB01126,Dutasteride,small molecule,Lipids and lipid-like molecules,inhibitor,"Dutasteride is an oral synthetic 4-azasteroid commonly marketed under the trade name Avodart. It is a novel dual 5α-reductase inhibitor that works by blocking both isoforms of 5α-reductase enzymes in a potent, selective, and irreversible manner.[A1909] Type I and II 5α-reductase enzymes convert testosterone into dihydrotestosterone (DHT), a primary hormonal mediator that plays a role in the development and enlargement of the prostate gland. Dutasteride was approved by the FDA in 2001 for the treatment of symptomatic benign prostatic hyperplasia (BPH) in men as monotherapy or in combination with the α-adrenergic antagonist [tamsulosin] to enhance the therapeutic response. Its clinical efficacy against benign prostate hyperplasia in male patients is comparable to that of [finasteride], a specific type II 5α-reductase inhibitor. However, unlike finasteride, dutasteride is not yet indicated for the treatment of androgenic alopecia although it was demonstrated to be effective in several randomized, double-blind, placebo-controlled trials in androgenetic alopecia.[A178333,A178336]",Which enzyme does Dutasteride inhibit to treat BPH?,Cyclooxygenase,Monoamine oxidase,Phosphodiesterase,5α-reductase,Lactase,D
174,DB01126,Dutasteride,small molecule,Lipids and lipid-like molecules,inhibitor,"Dutasteride is an oral synthetic 4-azasteroid commonly marketed under the trade name Avodart. It is a novel dual 5α-reductase inhibitor that works by blocking both isoforms of 5α-reductase enzymes in a potent, selective, and irreversible manner.[A1909] Type I and II 5α-reductase enzymes convert testosterone into dihydrotestosterone (DHT), a primary hormonal mediator that plays a role in the development and enlargement of the prostate gland. Dutasteride was approved by the FDA in 2001 for the treatment of symptomatic benign prostatic hyperplasia (BPH) in men as monotherapy or in combination with the α-adrenergic antagonist [tamsulosin] to enhance the therapeutic response. Its clinical efficacy against benign prostate hyperplasia in male patients is comparable to that of [finasteride], a specific type II 5α-reductase inhibitor. However, unlike finasteride, dutasteride is not yet indicated for the treatment of androgenic alopecia although it was demonstrated to be effective in several randomized, double-blind, placebo-controlled trials in androgenetic alopecia.[A178333,A178336]",What is the effect of Dutasteride on dihydrotestosterone (DHT) levels after 1-2 weeks of administration?,Increases by 50%,Decreases by 85-90%,No change,Increases by 10%,Decreases by 30%,B
175,DB01126,Dutasteride,small molecule,Lipids and lipid-like molecules,inhibitor,"Dutasteride is an oral synthetic 4-azasteroid commonly marketed under the trade name Avodart. It is a novel dual 5α-reductase inhibitor that works by blocking both isoforms of 5α-reductase enzymes in a potent, selective, and irreversible manner.[A1909] Type I and II 5α-reductase enzymes convert testosterone into dihydrotestosterone (DHT), a primary hormonal mediator that plays a role in the development and enlargement of the prostate gland. Dutasteride was approved by the FDA in 2001 for the treatment of symptomatic benign prostatic hyperplasia (BPH) in men as monotherapy or in combination with the α-adrenergic antagonist [tamsulosin] to enhance the therapeutic response. Its clinical efficacy against benign prostate hyperplasia in male patients is comparable to that of [finasteride], a specific type II 5α-reductase inhibitor. However, unlike finasteride, dutasteride is not yet indicated for the treatment of androgenic alopecia although it was demonstrated to be effective in several randomized, double-blind, placebo-controlled trials in androgenetic alopecia.[A178333,A178336]",Which of the following is NOT a reported side effect of Dutasteride?,Impotence,Reduced libido,Gynecomastia,Hypertension,Ejaculation disorder,D
176,DB01126,Dutasteride,small molecule,Lipids and lipid-like molecules,inhibitor,"Dutasteride is an oral synthetic 4-azasteroid commonly marketed under the trade name Avodart. It is a novel dual 5α-reductase inhibitor that works by blocking both isoforms of 5α-reductase enzymes in a potent, selective, and irreversible manner.[A1909] Type I and II 5α-reductase enzymes convert testosterone into dihydrotestosterone (DHT), a primary hormonal mediator that plays a role in the development and enlargement of the prostate gland. Dutasteride was approved by the FDA in 2001 for the treatment of symptomatic benign prostatic hyperplasia (BPH) in men as monotherapy or in combination with the α-adrenergic antagonist [tamsulosin] to enhance the therapeutic response. Its clinical efficacy against benign prostate hyperplasia in male patients is comparable to that of [finasteride], a specific type II 5α-reductase inhibitor. However, unlike finasteride, dutasteride is not yet indicated for the treatment of androgenic alopecia although it was demonstrated to be effective in several randomized, double-blind, placebo-controlled trials in androgenetic alopecia.[A178333,A178336]",What is the mechanism of action of Dutasteride?,Blocks beta-adrenergic receptors,Inhibits calcium channels,Inhibits both type I and type II 5α-reductase isoenzymes,Stimulates insulin release,Inhibits sodium channels,C
177,DB01238,Aripiprazole,small molecule,Organoheterocyclic compounds,partial agonist | modulator | antagonist | inverse agonist | ligand,"Aripiprazole is an atypical antipsychotic orally indicated for the treatment of schizophrenia, bipolar I, major depressive disorder, irritability associated with autism, and Tourette's.[L45859] It is also indicated as an injection for agitation associated with schizophrenia or bipolar mania.[L45859] Aripiprazole exerts its effects through agonism of dopaminergic and 5-HT1A receptors and antagonism of alpha-adrenergic and 5-HT2A receptors.[L45859,A4393] Aripiprazole was given FDA approval on November 15, 2002.[L6136]",Which of the following is NOT a known side effect of Aripiprazole overdose?,Vomiting,Tremor,Hair loss,Somnolence,Tachycardia,C
178,DB01238,Aripiprazole,small molecule,Organoheterocyclic compounds,partial agonist | modulator | antagonist | inverse agonist | ligand,"Aripiprazole is an atypical antipsychotic orally indicated for the treatment of schizophrenia, bipolar I, major depressive disorder, irritability associated with autism, and Tourette's.[L45859] It is also indicated as an injection for agitation associated with schizophrenia or bipolar mania.[L45859] Aripiprazole exerts its effects through agonism of dopaminergic and 5-HT1A receptors and antagonism of alpha-adrenergic and 5-HT2A receptors.[L45859,A4393] Aripiprazole was given FDA approval on November 15, 2002.[L6136]",What is the mechanism of action of Aripiprazole?,It is a full agonist of dopamine D2 receptors.,It blocks serotonin reuptake.,"It is a partial agonist at dopamine D2 and serotonin 5-HT1A receptors, and an antagonist at 5-HT2A receptors.",It enhances cholinergic muscarinic transmission.,It inhibits norepinephrine reuptake.,C
179,DB01238,Aripiprazole,small molecule,Organoheterocyclic compounds,partial agonist | modulator | antagonist | inverse agonist | ligand,"Aripiprazole is an atypical antipsychotic orally indicated for the treatment of schizophrenia, bipolar I, major depressive disorder, irritability associated with autism, and Tourette's.[L45859] It is also indicated as an injection for agitation associated with schizophrenia or bipolar mania.[L45859] Aripiprazole exerts its effects through agonism of dopaminergic and 5-HT1A receptors and antagonism of alpha-adrenergic and 5-HT2A receptors.[L45859,A4393] Aripiprazole was given FDA approval on November 15, 2002.[L6136]",Which formulation of Aripiprazole is used for bimonthly maintenance therapy of adult schizophrenia?,Oral tablets,Orally disintegrating tablets,Oral solution,Injectable suspension,Extended-release injectable suspension,E
